job_title,company,industry,location,required_skills,experience_level,salary_range,job_description,posting_date,demand_label,Certificates
Software Developer,Company_400,Finance,Pune,"Power BI, Excel, SQL",Mid,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-05,Low,None
Data Analyst,Company_66,Automobile,Pune,"Python, Data Analysis, Statistics",Mid,3-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-23,Low,Google Data Analytics Certificate
Software Developer,Company_303,Manufacturing,Chennai,"Python, SQL, Machine Learning",Junior,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-11,Low,None
Data Analyst,Company_189,E-commerce,Bangalore,"Linux, Networking, Security",Mid,8-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-28,Low,Google Data Analytics Certificate
Backend Developer,Company_347,Finance,Pune,"Power BI, Excel, SQL",Junior,9-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-08,Medium,None
Business Analyst,Company_181,Education,Mumbai,"Linux, Networking, Security",Junior,7-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-21,Low,None
AI Engineer,Company_230,Manufacturing,Delhi,"JavaScript, React, HTML, CSS",Senior,5-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-16,Medium,None
AI Engineer,Company_70,IT,Kolkata,"Linux, Networking, Security",Fresher,3-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-19,Medium,None
DevOps Engineer,Company_52,Automobile,Delhi,"Python, Data Analysis, Statistics",Junior,9-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-06,Medium,None
Product Manager,Company_233,Telecom,Bangalore,"Java, Spring, Microservices",Fresher,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-01,Medium,None
AI Engineer,Company_397,Finance,Remote,"Power BI, Excel, SQL",Senior,10-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-16,Medium,None
Backend Developer,Company_29,IT,Hyderabad,"Linux, Networking, Security",Fresher,7-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-18,High,None
Data Scientist,Company_454,E-commerce,Pune,"Python, SQL, Machine Learning",Senior,9-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-06,Low,Certified Data Scientist
Cloud Engineer,Company_83,Manufacturing,Pune,"Python, Data Analysis, Statistics",Mid,3-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-17,Low,AWS Certified Solutions Architect
Cloud Engineer,Company_469,Manufacturing,Kolkata,"Python, Deep Learning, NLP",Fresher,9-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-02,Low,AWS Certified Solutions Architect
Frontend Developer,Company_99,E-commerce,Delhi,"Linux, Networking, Security",Senior,3-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-26,Low,None
Data Scientist,Company_167,Healthcare,Remote,"JavaScript, React, HTML, CSS",Mid,8-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-28,Medium,Certified Data Scientist
Cloud Engineer,Company_103,E-commerce,Chennai,"Python, Data Analysis, Statistics",Mid,6-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-13,Low,AWS Certified Solutions Architect
AI Engineer,Company_322,Telecom,Kolkata,"Python, Data Analysis, Statistics",Fresher,5-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-11,Low,None
Business Analyst,Company_24,Healthcare,Remote,"Linux, Networking, Security",Junior,9-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-15,Medium,None
Frontend Developer,Company_287,Automobile,Delhi,"Power BI, Excel, SQL",Senior,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-25,High,None
Data Analyst,Company_128,Healthcare,Bangalore,"Java, Spring, Microservices",Senior,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-22,High,Google Data Analytics Certificate
Frontend Developer,Company_305,Education,Hyderabad,"Python, Data Analysis, Statistics",Fresher,6-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-16,High,None
Data Scientist,Company_215,IT,Hyderabad,"Python, SQL, Machine Learning",Junior,8-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-22,High,Certified Data Scientist
Product Manager,Company_17,Manufacturing,Pune,"JavaScript, React, HTML, CSS",Junior,9-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-20,High,None
DevOps Engineer,Company_404,Automobile,Kolkata,"AWS, Docker, Kubernetes",Junior,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-20,Low,None
AI Engineer,Company_221,Telecom,Pune,"JavaScript, React, HTML, CSS",Mid,5-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-18,High,None
AI Engineer,Company_259,Finance,Mumbai,"Power BI, Excel, SQL",Junior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-22,Low,None
Cloud Engineer,Company_326,IT,Remote,"Power BI, Excel, SQL",Senior,8-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-21,Medium,AWS Certified Solutions Architect
ML Engineer,Company_154,Education,Delhi,"Python, SQL, Machine Learning",Fresher,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-24,High,None
Product Manager,Company_80,Manufacturing,Delhi,"Python, Deep Learning, NLP",Senior,8-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-12,Low,None
Data Scientist,Company_146,Education,Delhi,"Python, Data Analysis, Statistics",Mid,9-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-26,Low,Certified Data Scientist
AI Engineer,Company_295,IT,Bangalore,"Linux, Networking, Security",Mid,4-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-17,High,None
Cloud Engineer,Company_320,Automobile,Delhi,"Python, SQL, Machine Learning",Mid,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-27,Low,AWS Certified Solutions Architect
Cyber Security Analyst,Company_58,E-commerce,Remote,"Linux, Networking, Security",Mid,7-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-17,High,Cybersecurity Essentials
DevOps Engineer,Company_157,IT,Bangalore,"AWS, Docker, Kubernetes",Mid,6-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-28,High,None
Cloud Engineer,Company_228,Education,Remote,"Power BI, Excel, SQL",Junior,3-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-14,Low,AWS Certified Solutions Architect
ML Engineer,Company_340,E-commerce,Hyderabad,"Python, Data Analysis, Statistics",Senior,3-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-16,Medium,None
Frontend Developer,Company_442,Healthcare,Hyderabad,"Java, Spring, Microservices",Junior,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-15,High,None
Business Analyst,Company_84,Education,Delhi,"Java, Spring, Microservices",Junior,5-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-02,Low,None
Data Analyst,Company_436,IT,Remote,"Linux, Networking, Security",Senior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-27,Medium,Google Data Analytics Certificate
Business Analyst,Company_224,IT,Remote,"Linux, Networking, Security",Fresher,9-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-26,Low,None
Software Developer,Company_124,Automobile,Bangalore,"Python, Data Analysis, Statistics",Fresher,8-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-24,Medium,None
Backend Developer,Company_351,Education,Remote,"Linux, Networking, Security",Fresher,4-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-31,High,None
Business Analyst,Company_67,Education,Delhi,"Linux, Networking, Security",Junior,7-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-21,High,None
Data Analyst,Company_497,Manufacturing,Kolkata,"Java, Spring, Microservices",Mid,5-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-21,Low,Google Data Analytics Certificate
Cyber Security Analyst,Company_369,IT,Delhi,"AWS, Docker, Kubernetes",Fresher,5-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-11,Low,Cybersecurity Essentials
Cyber Security Analyst,Company_446,Healthcare,Pune,"Python, SQL, Machine Learning",Fresher,10-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-04,Low,Cybersecurity Essentials
Frontend Developer,Company_367,Finance,Chennai,"Python, Data Analysis, Statistics",Junior,8-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-09,Low,None
DevOps Engineer,Company_167,Manufacturing,Kolkata,"AWS, Docker, Kubernetes",Junior,5-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-19,Low,None
Data Analyst,Company_180,E-commerce,Kolkata,"Python, SQL, Machine Learning",Fresher,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-03,High,Google Data Analytics Certificate
Cloud Engineer,Company_335,E-commerce,Remote,"Java, Spring, Microservices",Mid,5-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-25,Low,AWS Certified Solutions Architect
Business Analyst,Company_107,Healthcare,Chennai,"Java, Spring, Microservices",Mid,7-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-17,Low,None
Software Developer,Company_273,Automobile,Chennai,"Linux, Networking, Security",Senior,8-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-24,High,None
Software Developer,Company_358,Telecom,Hyderabad,"Python, SQL, Machine Learning",Senior,9-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-25,Medium,None
AI Engineer,Company_302,Telecom,Pune,"Linux, Networking, Security",Senior,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-30,Low,None
ML Engineer,Company_57,Manufacturing,Chennai,"Linux, Networking, Security",Senior,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-13,Medium,None
Business Analyst,Company_159,Telecom,Hyderabad,"Java, Spring, Microservices",Fresher,6-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-18,Low,None
Data Scientist,Company_246,Finance,Pune,"Python, SQL, Machine Learning",Senior,9-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-02,Low,Certified Data Scientist
Cyber Security Analyst,Company_80,Automobile,Remote,"JavaScript, React, HTML, CSS",Senior,7-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-27,Low,Cybersecurity Essentials
Cloud Engineer,Company_372,Manufacturing,Bangalore,"JavaScript, React, HTML, CSS",Fresher,6-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-15,Medium,AWS Certified Solutions Architect
Cloud Engineer,Company_188,Education,Kolkata,"AWS, Docker, Kubernetes",Fresher,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-27,High,AWS Certified Solutions Architect
ML Engineer,Company_265,Manufacturing,Hyderabad,"Python, Deep Learning, NLP",Mid,7-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-04,Medium,None
Cyber Security Analyst,Company_490,E-commerce,Hyderabad,"Python, Data Analysis, Statistics",Fresher,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-09,Low,Cybersecurity Essentials
ML Engineer,Company_50,Finance,Chennai,"Python, SQL, Machine Learning",Fresher,9-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-18,Medium,None
Frontend Developer,Company_385,Telecom,Pune,"Python, Data Analysis, Statistics",Mid,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-17,Medium,None
Frontend Developer,Company_182,E-commerce,Delhi,"Python, SQL, Machine Learning",Junior,10-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-08,Low,None
Backend Developer,Company_324,Healthcare,Hyderabad,"JavaScript, React, HTML, CSS",Junior,8-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-18,Medium,None
Cloud Engineer,Company_452,Education,Delhi,"Linux, Networking, Security",Senior,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-25,Medium,AWS Certified Solutions Architect
Frontend Developer,Company_192,Healthcare,Delhi,"Linux, Networking, Security",Senior,4-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-19,High,None
AI Engineer,Company_314,Education,Remote,"Python, Deep Learning, NLP",Fresher,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-27,Medium,None
Business Analyst,Company_260,Automobile,Chennai,"Python, Deep Learning, NLP",Junior,4-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-31,Low,None
DevOps Engineer,Company_230,Education,Chennai,"Python, Deep Learning, NLP",Fresher,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-27,Medium,None
Cloud Engineer,Company_210,E-commerce,Delhi,"AWS, Docker, Kubernetes",Mid,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-15,Medium,AWS Certified Solutions Architect
DevOps Engineer,Company_341,E-commerce,Remote,"Java, Spring, Microservices",Mid,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-11,Low,None
Cyber Security Analyst,Company_28,E-commerce,Pune,"AWS, Docker, Kubernetes",Senior,3-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-14,Medium,Cybersecurity Essentials
Data Analyst,Company_86,E-commerce,Delhi,"Python, SQL, Machine Learning",Senior,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-26,Medium,Google Data Analytics Certificate
Cloud Engineer,Company_35,Automobile,Bangalore,"JavaScript, React, HTML, CSS",Junior,4-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-24,Low,AWS Certified Solutions Architect
Cyber Security Analyst,Company_50,Education,Remote,"Python, SQL, Machine Learning",Senior,10-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-27,Medium,Cybersecurity Essentials
Frontend Developer,Company_400,Automobile,Hyderabad,"Linux, Networking, Security",Junior,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-15,Low,None
Backend Developer,Company_463,Finance,Chennai,"JavaScript, React, HTML, CSS",Senior,7-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-15,Low,None
Data Scientist,Company_375,Telecom,Kolkata,"Java, Spring, Microservices",Senior,9-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-19,High,Certified Data Scientist
Product Manager,Company_489,Finance,Hyderabad,"Linux, Networking, Security",Junior,9-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-29,Medium,None
Cloud Engineer,Company_370,Automobile,Remote,"Python, Deep Learning, NLP",Junior,5-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-24,Low,AWS Certified Solutions Architect
Data Analyst,Company_52,IT,Mumbai,"Python, Deep Learning, NLP",Mid,10-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-02,Low,Google Data Analytics Certificate
ML Engineer,Company_265,Finance,Hyderabad,"Python, SQL, Machine Learning",Fresher,3-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-12,Low,None
ML Engineer,Company_86,IT,Delhi,"Linux, Networking, Security",Junior,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-15,Medium,None
AI Engineer,Company_407,IT,Hyderabad,"Python, Data Analysis, Statistics",Junior,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-13,High,None
Cloud Engineer,Company_423,Healthcare,Pune,"AWS, Docker, Kubernetes",Junior,10-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-17,Low,AWS Certified Solutions Architect
Business Analyst,Company_232,E-commerce,Mumbai,"Power BI, Excel, SQL",Junior,10-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-30,Medium,None
Data Scientist,Company_33,Education,Mumbai,"Python, Deep Learning, NLP",Mid,3-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-27,High,Certified Data Scientist
ML Engineer,Company_116,E-commerce,Hyderabad,"JavaScript, React, HTML, CSS",Fresher,8-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-08,Low,None
Cyber Security Analyst,Company_101,E-commerce,Remote,"Power BI, Excel, SQL",Senior,6-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-05,Low,Cybersecurity Essentials
Software Developer,Company_264,Healthcare,Hyderabad,"Python, Deep Learning, NLP",Fresher,4-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-14,Medium,None
Backend Developer,Company_462,Automobile,Remote,"Power BI, Excel, SQL",Junior,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-25,High,None
ML Engineer,Company_302,Education,Delhi,"Python, Deep Learning, NLP",Fresher,9-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-25,Low,None
ML Engineer,Company_136,IT,Chennai,"Linux, Networking, Security",Fresher,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-16,Low,None
Software Developer,Company_56,Healthcare,Bangalore,"AWS, Docker, Kubernetes",Mid,10-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-29,Low,None
Software Developer,Company_65,Education,Remote,"AWS, Docker, Kubernetes",Fresher,6-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-24,Medium,None
Software Developer,Company_367,Automobile,Pune,"JavaScript, React, HTML, CSS",Senior,8-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-19,Low,None
Cloud Engineer,Company_30,Automobile,Pune,"Python, SQL, Machine Learning",Junior,8-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-28,Low,AWS Certified Solutions Architect
Frontend Developer,Company_232,IT,Bangalore,"Java, Spring, Microservices",Fresher,10-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-04,Low,None
Data Scientist,Company_358,Education,Mumbai,"Python, Deep Learning, NLP",Fresher,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-22,Medium,Certified Data Scientist
Backend Developer,Company_156,Education,Remote,"Power BI, Excel, SQL",Mid,6-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-06,Medium,None
ML Engineer,Company_429,Education,Kolkata,"Power BI, Excel, SQL",Mid,5-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-29,High,None
Backend Developer,Company_260,Healthcare,Mumbai,"Python, Deep Learning, NLP",Junior,8-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-24,Low,None
Cyber Security Analyst,Company_227,Education,Bangalore,"Python, Deep Learning, NLP",Senior,8-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-10,Low,Cybersecurity Essentials
Cloud Engineer,Company_457,Education,Delhi,"Power BI, Excel, SQL",Fresher,7-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-02,Low,AWS Certified Solutions Architect
AI Engineer,Company_401,E-commerce,Mumbai,"Power BI, Excel, SQL",Senior,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-02,Low,None
Cyber Security Analyst,Company_182,Finance,Kolkata,"Python, SQL, Machine Learning",Junior,4-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-20,High,Cybersecurity Essentials
Business Analyst,Company_273,Education,Remote,"Python, SQL, Machine Learning",Senior,4-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-20,High,None
Frontend Developer,Company_432,IT,Hyderabad,"Python, SQL, Machine Learning",Junior,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-13,High,None
Data Scientist,Company_299,IT,Remote,"Java, Spring, Microservices",Mid,10-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-29,High,Certified Data Scientist
Data Scientist,Company_484,Finance,Bangalore,"Python, Data Analysis, Statistics",Mid,7-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-30,High,Certified Data Scientist
AI Engineer,Company_362,Manufacturing,Kolkata,"Python, Deep Learning, NLP",Fresher,4-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-30,Low,None
Data Analyst,Company_32,IT,Bangalore,"AWS, Docker, Kubernetes",Junior,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-19,Medium,Google Data Analytics Certificate
Frontend Developer,Company_394,Healthcare,Kolkata,"Linux, Networking, Security",Junior,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-26,Low,None
Data Analyst,Company_112,Telecom,Hyderabad,"JavaScript, React, HTML, CSS",Mid,4-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-24,High,Google Data Analytics Certificate
Backend Developer,Company_13,Manufacturing,Bangalore,"Java, Spring, Microservices",Senior,7-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-03,High,None
Frontend Developer,Company_245,Telecom,Delhi,"AWS, Docker, Kubernetes",Senior,4-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-01,High,None
Backend Developer,Company_55,IT,Remote,"Python, Data Analysis, Statistics",Junior,6-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-25,Low,None
ML Engineer,Company_20,IT,Mumbai,"AWS, Docker, Kubernetes",Mid,9-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-31,Medium,None
Software Developer,Company_295,Telecom,Hyderabad,"Python, SQL, Machine Learning",Fresher,4-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-17,Low,None
Cyber Security Analyst,Company_138,E-commerce,Mumbai,"Linux, Networking, Security",Mid,6-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-07,Low,Cybersecurity Essentials
Data Analyst,Company_72,E-commerce,Pune,"Linux, Networking, Security",Mid,10-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-14,High,Google Data Analytics Certificate
Data Analyst,Company_105,Manufacturing,Remote,"Linux, Networking, Security",Mid,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-04,High,Google Data Analytics Certificate
Data Analyst,Company_1,Healthcare,Hyderabad,"Linux, Networking, Security",Senior,9-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-09,Low,Google Data Analytics Certificate
Cloud Engineer,Company_182,E-commerce,Kolkata,"Python, SQL, Machine Learning",Junior,10-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-09,Low,AWS Certified Solutions Architect
Data Analyst,Company_134,E-commerce,Delhi,"Python, Deep Learning, NLP",Junior,5-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-04,Low,Google Data Analytics Certificate
Data Scientist,Company_3,IT,Chennai,"Python, Deep Learning, NLP",Fresher,10-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-30,Low,Certified Data Scientist
DevOps Engineer,Company_384,Education,Hyderabad,"AWS, Docker, Kubernetes",Fresher,10-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-29,Low,None
Business Analyst,Company_59,Telecom,Delhi,"Python, Deep Learning, NLP",Mid,7-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-20,High,None
DevOps Engineer,Company_486,Manufacturing,Chennai,"Python, Deep Learning, NLP",Mid,10-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-06,Low,None
Frontend Developer,Company_72,Healthcare,Pune,"Linux, Networking, Security",Senior,10-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-31,High,None
Cyber Security Analyst,Company_498,Finance,Mumbai,"AWS, Docker, Kubernetes",Junior,5-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-08,Medium,Cybersecurity Essentials
Data Scientist,Company_167,IT,Hyderabad,"Python, SQL, Machine Learning",Senior,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-06,Medium,Certified Data Scientist
Business Analyst,Company_215,Finance,Kolkata,"AWS, Docker, Kubernetes",Senior,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-24,Medium,None
Backend Developer,Company_247,Automobile,Remote,"AWS, Docker, Kubernetes",Mid,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-07,Medium,None
Backend Developer,Company_86,Manufacturing,Remote,"JavaScript, React, HTML, CSS",Junior,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-09,Medium,None
Business Analyst,Company_190,IT,Kolkata,"AWS, Docker, Kubernetes",Fresher,5-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-16,High,None
Data Scientist,Company_224,Telecom,Chennai,"Java, Spring, Microservices",Senior,7-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-25,Medium,Certified Data Scientist
ML Engineer,Company_427,Automobile,Delhi,"Python, Deep Learning, NLP",Senior,5-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-29,Low,None
Business Analyst,Company_242,Finance,Delhi,"Python, SQL, Machine Learning",Senior,6-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-15,Low,None
Business Analyst,Company_305,Education,Kolkata,"Python, Deep Learning, NLP",Junior,9-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-16,High,None
ML Engineer,Company_241,Automobile,Pune,"AWS, Docker, Kubernetes",Fresher,4-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-30,Medium,None
Frontend Developer,Company_357,Education,Remote,"Python, Data Analysis, Statistics",Junior,8-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-01,Low,None
Business Analyst,Company_205,Telecom,Remote,"Python, Deep Learning, NLP",Fresher,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-25,High,None
Business Analyst,Company_399,Telecom,Delhi,"Python, Deep Learning, NLP",Fresher,9-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-23,High,None
Data Scientist,Company_397,Manufacturing,Mumbai,"Python, Data Analysis, Statistics",Junior,4-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-11,Medium,Certified Data Scientist
DevOps Engineer,Company_105,Manufacturing,Mumbai,"Python, Data Analysis, Statistics",Senior,9-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-17,Medium,None
AI Engineer,Company_115,Healthcare,Bangalore,"JavaScript, React, HTML, CSS",Fresher,8-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-16,Low,None
DevOps Engineer,Company_85,E-commerce,Chennai,"AWS, Docker, Kubernetes",Mid,6-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-05,High,None
Software Developer,Company_302,Manufacturing,Hyderabad,"Python, SQL, Machine Learning",Fresher,10-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-15,High,None
DevOps Engineer,Company_59,IT,Remote,"Python, Data Analysis, Statistics",Junior,7-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-09,Medium,None
DevOps Engineer,Company_237,IT,Pune,"Python, Data Analysis, Statistics",Junior,5-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-27,Low,None
DevOps Engineer,Company_364,Education,Pune,"Python, SQL, Machine Learning",Junior,3-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-29,Medium,None
Software Developer,Company_175,Telecom,Pune,"Java, Spring, Microservices",Mid,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-24,Low,None
Product Manager,Company_15,Manufacturing,Hyderabad,"Python, SQL, Machine Learning",Junior,10-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-11,Medium,None
Cyber Security Analyst,Company_73,Manufacturing,Pune,"Python, Data Analysis, Statistics",Junior,6-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-20,Medium,Cybersecurity Essentials
Business Analyst,Company_211,Healthcare,Bangalore,"Python, Deep Learning, NLP",Senior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-11,Medium,None
Frontend Developer,Company_388,IT,Pune,"Python, SQL, Machine Learning",Fresher,3-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-06,Low,None
